id_product,id_image,position,cover
360,1892,2,0
360,1893,3,0
360,1978,4,0
360,1979,5,0
360,2777,6,0
360,2778,7,0
360,2783,8,1
361,3803,1,0
361,3804,2,0
361,3805,3,0
361,3806,4,1
362,1965,1,0
362,1967,2,0
362,2613,3,0
362,2732,4,1
362,2733,5,0
362,2734,6,0
363,2129,1,0
363,2130,2,0
363,2235,3,0
363,2311,4,0
363,2330,5,1
364,2068,1,0
364,2069,2,1
364,2070,3,0
365,2065,1,1
365,2066,2,0
365,2067,3,0
366,2582,1,0
366,2583,2,0
366,2584,3,1
366,2585,4,0
366,2781,5,0
366,2782,6,0
367,1876,1,1
367,1877,2,0
367,1878,3,0
367,1879,4,0
368,3811,1,0
368,3812,2,1
368,3813,3,0
368,3814,4,0
369,3894,1,0
369,3895,2,0
369,3896,3,0
369,3897,4,1
370,2654,1,0
370,2655,2,1
370,2656,3,0
370,2657,4,0
372,2977,1,0
372,2980,2,0
372,3663,3,1
372,3664,4,0
373,3913,1,1
373,3914,2,0
373,3915,3,0
373,3916,4,0
374,2086,1,0
374,2087,2,1
374,2088,3,0
375,3667,1,1
375,3668,2,0
377,2059,1,1
377,2060,2,0
378,1838,1,0
378,1839,2,0
378,1840,3,0
378,1870,4,0
378,1871,5,0
378,1872,6,0
378,2198,7,0
378,2199,8,0
378,2200,9,0
378,2201,10,0
378,2790,11,0
378,3337,12,0
378,3338,13,1
378,3339,14,0
378,3340,15,0
380,1855,1,0
380,1941,2,0
380,1942,3,0
380,1943,4,0
380,3499,5,0
380,3500,6,1
380,3501,7,0
381,1880,1,1
381,1881,2,0
381,1882,3,0
381,1883,4,0
381,1884,5,0
381,1885,6,0
381,1886,7,0
381,1887,8,0
382,2002,1,0
382,2039,2,1
382,2040,3,0
382,2041,4,0
382,2043,5,0
382,2110,6,0
382,2111,7,0
382,2112,8,0
382,2113,9,0
382,2114,10,0
385,2005,1,0
385,2006,2,0
385,2007,3,0
385,2008,4,0
385,2009,5,0
385,2010,6,1
385,2011,7,0
386,2958,1,0
386,2959,2,0
386,2960,3,0
386,2961,4,1
387,2151,1,1
387,2152,2,0
387,2153,3,0
387,2154,4,0
387,2155,5,0
388,2156,1,1
388,2157,2,0
388,2158,3,0
388,2159,4,0
389,2160,1,0
389,2161,2,0
389,3262,3,1
390,2162,1,1
390,2163,2,0
391,2179,1,0
391,2180,2,1
391,2181,3,0
391,2187,4,0
391,2240,5,0
391,2241,6,0
391,2242,7,0
391,2243,8,0
391,2244,9,0
392,2190,1,1
392,2189,2,0
392,2188,3,0
392,2245,4,0
392,2246,5,0
392,2247,6,0
392,2248,7,0
392,2249,8,0
393,3651,1,1
393,3652,2,0
393,3653,3,0
393,3654,4,0
393,3655,5,0
394,2220,1,1
394,2221,2,0
394,2222,3,0
394,2223,4,0
395,2224,1,1
395,2225,2,0
395,2226,3,0
395,2227,4,0
395,2228,5,0
396,2229,1,1
396,2230,2,0
396,2231,3,0
396,2232,4,0
396,2233,5,0
396,3857,6,0
396,3858,7,0
396,3859,8,0
396,3860,9,0
396,3861,10,0
397,3257,1,0
397,3893,2,1
397,3258,3,0
397,3259,4,0
397,3260,5,0
397,3261,6,0
398,2284,1,0
398,2285,2,1
398,2286,3,0
400,3543,1,0
400,3544,2,1
400,3545,3,0
400,3546,4,0
400,3547,5,0
400,3548,6,0
400,3549,7,0
401,2747,1,1
401,2855,2,0
401,2856,3,0
402,2337,1,1
402,2338,2,0
402,2339,3,0
403,2340,1,1
403,2341,2,0
404,2345,1,0
404,2346,2,1
404,2347,3,0
405,2749,1,1
405,2857,2,0
405,2858,3,0
406,2750,1,1
406,2859,2,0
406,2860,3,0
407,2751,1,1
407,2871,2,0
407,2872,3,0
408,2756,1,1
408,2861,2,0
408,2862,3,0
409,2752,1,1
409,2863,2,0
409,2864,3,0
410,2753,1,1
410,2865,2,0
410,2866,3,0
411,2754,1,1
411,2867,2,0
411,2868,3,0
411,3669,4,0
412,2525,1,1
412,2601,2,0
412,2602,3,0
413,2755,1,1
413,2869,2,0
413,2870,3,0
414,3670,1,1
414,3671,2,0
414,3672,3,0
414,3673,4,0
414,3674,5,0
414,3675,6,0
414,3775,7,0
414,3776,8,0
414,3777,9,0
414,3778,10,0
414,3779,11,0
414,3780,12,0
416,3090,1,1
416,3091,2,0
416,3092,3,0
416,3093,4,0
417,2492,1,0
417,2493,2,0
417,2494,3,1
417,2495,4,0
417,2496,5,0
418,3598,1,0
418,3599,2,0
418,3600,3,1
418,3601,4,0
419,2724,1,0
419,2725,2,1
419,2726,3,0
420,2727,1,0
